epoch,loss,tm_score
1,5050.0392350666225,0.5177019028678477
2,5606.623912803829,0.6032764082714757
3,4063.8950200956315,0.6641852985621849
4,1874.561698967591,0.7137511162013848
5,3654.467885805294,0.6911177773758278
6,766.027613918297,0.7434477976766762
7,1310.0302527458407,0.7524264108834083
8,305.5110028143972,0.7661106197981035
9,294.1761852307245,0.7834718489346436
10,3441.8532136762515,0.7092755115994093
11,1135.1597185526043,0.7610648719330294
12,356.1919772690162,0.7927486713517238
13,392.70309409173205,0.8027446949938709
14,468.88882421143353,0.8023440672861972
15,175.00034655630589,0.8135430226273982
16,178.4131134711206,0.8183953255230343
17,187.84555542422459,0.819900693912995
18,139.43967545498163,0.827511293675932
19,189.95938368095085,0.8254442307607698
20,152.51000491669402,0.8316200450975475
